"ugcodigo";"nroempenho";"nrodocumento";"dataemissao";"categoria_despesa_codigo";"categoria_despesa";"grupo_despesa_codigo";"grupo_despesa";"modalidade_despesa_codigo";"modalidade_despesa";"elemento_despesa_codigo";"elemento_despesa";"nroprocesso";"funcionalprogramatica";"fonterecursocodigo";"especificacao";"credoridentificacao";"licitacao";"valordespesa";"item_despesa_codigo";"item_despesa";"estorno";"origem"
30101;"2026NE000054";"2026LQ000439";2026-03-24;3;DESPESAS CORRENTES;33;OUTRAS DESPESAS CORRENTES;3390;APLICAÇÕES DIRETAS;339039;OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA;;"100310101032000220110001";"150000001";LIQUIDACAO;"00000000481602";DISPENSA;327.35;33903981;SERVIÇOS BANCÁRIOS;;
30101;"2026NE000054";"2026LQ000350";2026-03-10;3;DESPESAS CORRENTES;33;OUTRAS DESPESAS CORRENTES;3390;APLICAÇÕES DIRETAS;339039;OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA;"030009292025";"100310101032000220110001";"150000001";LIQUIDACAO;"00000000481602";DISPENSA;567.95;33903981;SERVIÇOS BANCÁRIOS;;
30101;"2026NE000054";"2026LQ000438";2026-03-24;3;DESPESAS CORRENTES;33;OUTRAS DESPESAS CORRENTES;3390;APLICAÇÕES DIRETAS;339039;OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA;"030009292025";"100310101032000220110001";"150000001";LIQUIDACAO;"00000000481602";DISPENSA;827.35;33903981;SERVIÇOS BANCÁRIOS;;
30101;"2026NE000054";"2026LQ000349";2026-03-10;3;DESPESAS CORRENTES;33;OUTRAS DESPESAS CORRENTES;3390;APLICAÇÕES DIRETAS;339039;OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA;;"100310101032000220110001";"150000001";LIQUIDACAO;"00000000481602";DISPENSA;748.15;33903981;SERVIÇOS BANCÁRIOS;;
30101;"2026NE000054";"2026LQ000508";2026-03-31;3;DESPESAS CORRENTES;33;OUTRAS DESPESAS CORRENTES;3390;APLICAÇÕES DIRETAS;339039;OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA;"030009292025";"100310101032000220110001";"150000001";LIQUIDACAO;"00000000481602";DISPENSA;13.08;33903981;SERVIÇOS BANCÁRIOS;;
30101;"2026NE000127";"2026LQ000347";2026-03-09;3;DESPESAS CORRENTES;33;OUTRAS DESPESAS CORRENTES;3390;APLICAÇÕES DIRETAS;339040;SERVIÇOS DE TECNOLOGIA DA INFORMAÇÃO E COMUNICAÇÃO-PESSOA JURÍDICA;;"100310101032000220110001";"150000001";LIQUIDACAO;"02877566000121";PREGÃO;3391.85;33904079;SERVIÇO DE SUPORTE A USUÁRIO E DE INFRAESTRUTURA DE TIC;;
30101;"2026NE000071";"2026LQ000170";2026-02-09;4;DESPESAS DE CAPITAL;44;INVESTIMENTOS;4490;APLICAÇÕES DIRETAS;449040;SERVIÇOS DE TECNOLOGIA DA INFORMAÇÃO E COMUNICAÇÃO - PESSOA JURÍDICA;;"100310101032000220110001";"150000001";LIQUIDACAO;"02877566000121";PREGÃO;6315.36;44904001;DESENVOLVIMENTO E MANUTENÇÃO DE SOFTWARES;;
30101;"2026NE000247";"2026LQ000458";2026-03-27;3;DESPESAS CORRENTES;33;OUTRAS DESPESAS CORRENTES;3390;APLICAÇÕES DIRETAS;339014;DIÁRIAS - CIVIL;"030006602026";"100310101032000220110001";"150000001";LIQUIDACAO;"03033487122";NÃO APLICA;-465;33901401;DIÁRIAS NO ESTADO;;
30101;"2026NE000247";"2026LQ000316";2026-03-06;3;DESPESAS CORRENTES;33;OUTRAS DESPESAS CORRENTES;3390;APLICAÇÕES DIRETAS;339014;DIÁRIAS - CIVIL;"030006602026";"100310101032000220110001";"150000001";LIQUIDACAO;"03033487122";NÃO APLICA;2092.5;33901401;DIÁRIAS NO ESTADO;;
30101;"2026NE000164";"2026LQ000159";2026-02-06;3;DESPESAS CORRENTES;33;OUTRAS DESPESAS CORRENTES;3350;TRANSFERÊNCIAS A INSTITUIÇÕES PRIVADAS SEM FINS LUCRATIVOS;335043;SUBVENÇÕES SOCIAIS;;"100310101032000220110001";"150000001";LIQUIDACAO;"03051673000169";;40279.86;33504306;INSTITUIÇÃO DE CARÁTER ASSISTÊNCIA SOCIAL ;;
30101;"2026NE000164";"2026LQ000531";2026-03-31;3;DESPESAS CORRENTES;33;OUTRAS DESPESAS CORRENTES;3350;TRANSFERÊNCIAS A INSTITUIÇÕES PRIVADAS SEM FINS LUCRATIVOS;335043;SUBVENÇÕES SOCIAIS;;"100310101032000220110001";"150000001";LIQUIDACAO;"03051673000169";;-19739.28;33504306;INSTITUIÇÃO DE CARÁTER ASSISTÊNCIA SOCIAL ;;
30101;"2026NE000176";"2026LQ000448";2026-03-25;3;DESPESAS CORRENTES;33;OUTRAS DESPESAS CORRENTES;3390;APLICAÇÕES DIRETAS;339039;OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA;"030003602026";"100310101032000220110001";"150000001";LIQUIDACAO;"03119724000147";INEXIGIBILIDADE;5161.05;33903901;ASSINATURAS DE PERIÓDICOS ;;
30101;"2026NE000241";"2026LQ000293";2026-02-27;3;DESPESAS CORRENTES;33;OUTRAS DESPESAS CORRENTES;3390;APLICAÇÕES DIRETAS;339014;DIÁRIAS - CIVIL;;"100310101032000220110001";"150000001";LIQUIDACAO;"03088303937";NÃO APLICA;697.5;33901401;DIÁRIAS NO ESTADO;;
30101;"2026NE000164";"2026LQ000148";2026-02-05;3;DESPESAS CORRENTES;33;OUTRAS DESPESAS CORRENTES;3350;TRANSFERÊNCIAS A INSTITUIÇÕES PRIVADAS SEM FINS LUCRATIVOS;335043;SUBVENÇÕES SOCIAIS;"030000832026";"100310101032000220110001";"150000001";LIQUIDACAO;"03051673000169";;40279.86;33504306;INSTITUIÇÃO DE CARÁTER ASSISTÊNCIA SOCIAL ;;
30101;"2026NE000164";"2026LQ000150";2026-02-05;3;DESPESAS CORRENTES;33;OUTRAS DESPESAS CORRENTES;3350;TRANSFERÊNCIAS A INSTITUIÇÕES PRIVADAS SEM FINS LUCRATIVOS;335043;SUBVENÇÕES SOCIAIS;"030000832026";"100310101032000220110001";"150000001";LIQUIDACAO;"03051673000169";;-40279.86;33504306;INSTITUIÇÃO DE CARÁTER ASSISTÊNCIA SOCIAL ;;
30101;"2026NE000164";"2026LQ000335";2026-03-06;3;DESPESAS CORRENTES;33;OUTRAS DESPESAS CORRENTES;3350;TRANSFERÊNCIAS A INSTITUIÇÕES PRIVADAS SEM FINS LUCRATIVOS;335043;SUBVENÇÕES SOCIAIS;;"100310101032000220110001";"150000001";LIQUIDACAO;"03051673000169";;40279.86;33504306;INSTITUIÇÃO DE CARÁTER ASSISTÊNCIA SOCIAL ;;
30101;"2026NE000164";"2026LQ000530";2026-03-31;3;DESPESAS CORRENTES;33;OUTRAS DESPESAS CORRENTES;3350;TRANSFERÊNCIAS A INSTITUIÇÕES PRIVADAS SEM FINS LUCRATIVOS;335043;SUBVENÇÕES SOCIAIS;"030000832026";"100310101032000220110001";"150000001";LIQUIDACAO;"03051673000169";;19739.28;33504306;INSTITUIÇÃO DE CARÁTER ASSISTÊNCIA SOCIAL ;;
30101;"2026NE000164";"2026LQ000537";2026-04-08;3;DESPESAS CORRENTES;33;OUTRAS DESPESAS CORRENTES;3350;TRANSFERÊNCIAS A INSTITUIÇÕES PRIVADAS SEM FINS LUCRATIVOS;335043;SUBVENÇÕES SOCIAIS;;"100310101032000220110001";"150000001";LIQUIDACAO;"03051673000169";;19691.76;33504306;INSTITUIÇÃO DE CARÁTER ASSISTÊNCIA SOCIAL ;;
30101;"2026NE000223";"2026LQ000242";2026-02-23;3;DESPESAS CORRENTES;33;OUTRAS DESPESAS CORRENTES;3390;APLICAÇÕES DIRETAS;339014;DIÁRIAS - CIVIL;"030005172026";"100310101032000220110001";"150000001";LIQUIDACAO;"03249044105";NÃO APLICA;2557.5;33901401;DIÁRIAS NO ESTADO;;
30101;"2026NE000252";"2026LQ000320";2026-03-06;3;DESPESAS CORRENTES;33;OUTRAS DESPESAS CORRENTES;3390;APLICAÇÕES DIRETAS;339014;DIÁRIAS - CIVIL;"030006782026";"100310101032000220110001";"150000001";LIQUIDACAO;"03249044105";NÃO APLICA;2092.5;33901401;DIÁRIAS NO ESTADO;;
30101;"2026NE000223";"2026LQ000345";2026-03-09;3;DESPESAS CORRENTES;33;OUTRAS DESPESAS CORRENTES;3390;APLICAÇÕES DIRETAS;339014;DIÁRIAS - CIVIL;"030005172026";"100310101032000220110001";"150000001";LIQUIDACAO;"03249044105";NÃO APLICA;-2557.5;33901401;DIÁRIAS NO ESTADO;;
30101;"2026NE000193";"2026LQ000213";2026-02-19;3;DESPESAS CORRENTES;33;OUTRAS DESPESAS CORRENTES;3390;APLICAÇÕES DIRETAS;339014;DIÁRIAS - CIVIL;"030002082026";"100310101032000220110001";"150000001";LIQUIDACAO;"03249044105";NÃO APLICA;2557.5;33901401;DIÁRIAS NO ESTADO;;
30101;"2026NE000013";"2026LQ000190";2026-02-12;3;DESPESAS CORRENTES;33;OUTRAS DESPESAS CORRENTES;3390;APLICAÇÕES DIRETAS;339040;SERVIÇOS DE TECNOLOGIA DA INFORMAÇÃO E COMUNICAÇÃO-PESSOA JURÍDICA;"030005532025";"100310101032000220110001";"150000001";LIQUIDACAO;"03698620000568";PREGÃO;54650.9;33904095;REPARO, MANUTENÇÃO E CONSERVAÇÃO DE EQUIPAMENTOS DE PROCESSAMENTO DE DADOS (TIC);;
30101;"2026NE000013";"2026LQ000390";2026-03-13;3;DESPESAS CORRENTES;33;OUTRAS DESPESAS CORRENTES;3390;APLICAÇÕES DIRETAS;339040;SERVIÇOS DE TECNOLOGIA DA INFORMAÇÃO E COMUNICAÇÃO-PESSOA JURÍDICA;;"100310101032000220110001";"150000001";LIQUIDACAO;"03698620000568";PREGÃO;54650.9;33904095;REPARO, MANUTENÇÃO E CONSERVAÇÃO DE EQUIPAMENTOS DE PROCESSAMENTO DE DADOS (TIC);;
30101;"2026NE000004";"2026LQ000399";2026-03-13;3;DESPESAS CORRENTES;33;OUTRAS DESPESAS CORRENTES;3390;APLICAÇÕES DIRETAS;339037;LOCAÇÃO DE MÃO-DE-OBRA;"030001972025";"100310101032000220110001";"150000001";LIQUIDACAO;"03703179000131";PREGÃO;1130452.3;33903701;LOCAÇÃO DE SERVIÇOS DE APOIO ADMINISTRATIVO, TÉCNICO E OPERACIONAL;;
30101;"2026NE000093";"2026LQ000220";2026-02-19;3;DESPESAS CORRENTES;33;OUTRAS DESPESAS CORRENTES;3390;APLICAÇÕES DIRETAS;339037;LOCAÇÃO DE MÃO-DE-OBRA;;"100310101032000220110001";"150000001";LIQUIDACAO;"03703179000131";PREGÃO;-30188.73;33903702;LOCAÇÃO DE SERVIÇOS DE LIMPEZA E CONSERVAÇÃO;;
30101;"2026NE000004";"2026LQ000510";2026-03-31;3;DESPESAS CORRENTES;33;OUTRAS DESPESAS CORRENTES;3390;APLICAÇÕES DIRETAS;339037;LOCAÇÃO DE MÃO-DE-OBRA;;"100310101032000220110001";"150000001";LIQUIDACAO;"03703179000131";PREGÃO;1225278;33903701;LOCAÇÃO DE SERVIÇOS DE APOIO ADMINISTRATIVO, TÉCNICO E OPERACIONAL;;
30101;"2026NE000093";"2026LQ000221";2026-02-19;3;DESPESAS CORRENTES;33;OUTRAS DESPESAS CORRENTES;3390;APLICAÇÕES DIRETAS;339037;LOCAÇÃO DE MÃO-DE-OBRA;"030008252025";"100310101032000220110001";"150000001";LIQUIDACAO;"03703179000131";PREGÃO;30188.73;33903702;LOCAÇÃO DE SERVIÇOS DE LIMPEZA E CONSERVAÇÃO;;
30101;"2026NE000093";"2026LQ000192";2026-02-12;3;DESPESAS CORRENTES;33;OUTRAS DESPESAS CORRENTES;3390;APLICAÇÕES DIRETAS;339037;LOCAÇÃO DE MÃO-DE-OBRA;"030008252025";"100310101032000220110001";"150000001";LIQUIDACAO;"03703179000131";PREGÃO;274443;33903702;LOCAÇÃO DE SERVIÇOS DE LIMPEZA E CONSERVAÇÃO;;
